day,batch_root,receipt_count,chain_tx,cid,anchored_at
2026-02-04,0xc00d3f8b46064c083d87e98ddef97a02d0442af27f4b0ba77f75614449107152,188,,,2026-02-04T22:29:11.521995Z
2026-02-17,0x37a014154b415f1bf0b467028479076a43656112776d6ce257a41812c8848e03,5,,,2026-02-17T21:51:40.461267Z
2026-02-17,0xa614a29f4fc1cbcdf36713ede6965e331845872ffdd11384cfc3aa63572f72a1,499,,,2026-02-17T22:02:39.429162Z
2026-02-17,0xff76501a680f8e0a3bcdf35ac563f2968b0502afff08285fca54402aa3e42827,2,,,2026-02-17T22:25:47.371315Z
2026-02-17,0xf8a73b66d9d9efcc4dbbd6eeb360a43099baef2ee5477fc7e23808b695ac93bd,498,,,2026-02-17T22:29:10.837933Z
2026-02-17,0xf3798b18d2848c820b29301d0312a8aa9971716af23362904c728e860eff2fe0,199,,,2026-02-17T22:40:37.890636Z
2026-02-20,0x4dc296c4b5181aca8417ed4d54a8df7dc1bd8f86f11cf912f93a86fb72a6633d,199,,,2026-02-19T23:52:13.469245Z
