anchor_id,benchmark_id,duration_ms,duration_ns,metadata,observed_at_utc,repetition_index,run_id,seed,session_id,session_mode,stage,warmup,workload_size
,reviewer3_performance_final,4.966959,4966959,{},2026-08-01T14:06:31.960296Z,,reviewer3_performance_final_warmup_n0500_w01,42,,all,batch_merkle_construction,True,500
,reviewer3_performance_final,48.096416,48096416,{},2026-08-01T14:06:32.009939Z,,reviewer3_performance_final_warmup_n0500_w01,42,,all,batch_anchor_persistence,True,500
,reviewer3_performance_final,57.896083,57896083,{},2026-08-01T14:06:32.009966Z,,reviewer3_performance_final_warmup_n0500_w01,42,,all,batch_anchor_total,True,500
1,reviewer3_performance_final,24.537959,24537959,{},2026-08-01T14:06:32.036380Z,,reviewer3_performance_final_warmup_n0500_w01,42,,all,batch_membership_load,True,500
1,reviewer3_performance_final,5.703459,5703459,{},2026-08-01T14:06:32.046769Z,,reviewer3_performance_final_warmup_n0500_w01,42,,all,batch_merkle_recomputation,True,500
1,reviewer3_performance_final,76.820958,76820958,{},2026-08-01T14:06:32.123945Z,,reviewer3_performance_final_warmup_n0500_w01,42,,all,batch_snapshot_audit,True,500
1,reviewer3_performance_final,0.069292,69292,{},2026-08-01T14:06:32.124599Z,,reviewer3_performance_final_warmup_n0500_w01,42,,all,batch_verification_persistence,True,500
,reviewer3_performance_final,114.445417,114445417,{},2026-08-01T14:06:32.124606Z,,reviewer3_performance_final_warmup_n0500_w01,42,,all,batch_verification_total,True,500
,reviewer3_performance_final,4.607459,4607459,{},2026-08-01T14:06:40.286108Z,,reviewer3_performance_final_warmup_n1000_w01,42,,all,batch_eligibility_query,True,1000
,reviewer3_performance_final,0.001791,1791,{},2026-08-01T14:06:40.286130Z,,reviewer3_performance_final_warmup_n1000_w01,42,,all,batch_context_and_leaf_construction,True,1000
,reviewer3_performance_final,10.767292,10767292,{},2026-08-01T14:06:40.296906Z,,reviewer3_performance_final_warmup_n1000_w01,42,,all,batch_merkle_construction,True,1000
,reviewer3_performance_final,93.697417,93697417,{},2026-08-01T14:06:40.392500Z,,reviewer3_performance_final_warmup_n1000_w01,42,,all,batch_anchor_persistence,True,1000
,reviewer3_performance_final,111.061792,111061792,{},2026-08-01T14:06:40.392519Z,,reviewer3_performance_final_warmup_n1000_w01,42,,all,batch_anchor_total,True,1000
1,reviewer3_performance_final,8.493625,8493625,{},2026-08-01T14:06:40.403132Z,,reviewer3_performance_final_warmup_n1000_w01,42,,all,batch_membership_load,True,1000
1,reviewer3_performance_final,11.581166,11581166,{},2026-08-01T14:06:40.422224Z,,reviewer3_performance_final_warmup_n1000_w01,42,,all,batch_merkle_recomputation,True,1000
1,reviewer3_performance_final,152.825584,152825584,{},2026-08-01T14:06:40.575795Z,,reviewer3_performance_final_warmup_n1000_w01,42,,all,batch_snapshot_audit,True,1000
1,reviewer3_performance_final,0.06275,62750,{},2026-08-01T14:06:40.576980Z,,reviewer3_performance_final_warmup_n1000_w01,42,,all,batch_verification_persistence,True,1000
,reviewer3_performance_final,184.159875,184159875,{},2026-08-01T14:06:40.576991Z,,reviewer3_performance_final_warmup_n1000_w01,42,,all,batch_verification_total,True,1000
,reviewer3_performance_final,5.270958,5270958,{},2026-08-01T14:06:49.614361Z,2,reviewer3_performance_final_n1000_r02_seed43,43,,all,batch_eligibility_query,False,1000
,reviewer3_performance_final,0.002208,2208,{},2026-08-01T14:06:49.614387Z,2,reviewer3_performance_final_n1000_r02_seed43,43,,all,batch_context_and_leaf_construction,False,1000
,reviewer3_performance_final,11.991334,11991334,{},2026-08-01T14:06:49.626391Z,2,reviewer3_performance_final_n1000_r02_seed43,43,,all,batch_merkle_construction,False,1000
,reviewer3_performance_final,102.742833,102742833,{},2026-08-01T14:06:49.731121Z,2,reviewer3_performance_final_n1000_r02_seed43,43,,all,batch_anchor_persistence,False,1000
,reviewer3_performance_final,122.100333,122100333,{},2026-08-01T14:06:49.731141Z,2,reviewer3_performance_final_n1000_r02_seed43,43,,all,batch_anchor_total,False,1000
1,reviewer3_performance_final,8.622583,8622583,{},2026-08-01T14:06:49.741942Z,2,reviewer3_performance_final_n1000_r02_seed43,43,,all,batch_membership_load,False,1000
1,reviewer3_performance_final,10.941792,10941792,{},2026-08-01T14:06:49.759928Z,2,reviewer3_performance_final_n1000_r02_seed43,43,,all,batch_merkle_recomputation,False,1000
1,reviewer3_performance_final,150.547875,150547875,{},2026-08-01T14:06:49.911348Z,2,reviewer3_performance_final_n1000_r02_seed43,43,,all,batch_snapshot_audit,False,1000
1,reviewer3_performance_final,0.075833,75833,{},2026-08-01T14:06:49.912679Z,2,reviewer3_performance_final_n1000_r02_seed43,43,,all,batch_verification_persistence,False,1000
,reviewer3_performance_final,181.210125,181210125,{},2026-08-01T14:06:49.912687Z,2,reviewer3_performance_final_n1000_r02_seed43,43,,all,batch_verification_total,False,1000
,reviewer3_performance_final,5.725792,5725792,{},2026-08-01T14:06:59.493754Z,4,reviewer3_performance_final_n1000_r04_seed45,45,,all,batch_eligibility_query,False,1000
,reviewer3_performance_final,0.002292,2292,{},2026-08-01T14:06:59.493779Z,4,reviewer3_performance_final_n1000_r04_seed45,45,,all,batch_context_and_leaf_construction,False,1000
,reviewer3_performance_final,10.892125,10892125,{},2026-08-01T14:06:59.504681Z,4,reviewer3_performance_final_n1000_r04_seed45,45,,all,batch_merkle_construction,False,1000
,reviewer3_performance_final,101.938542,101938542,{},2026-08-01T14:06:59.608532Z,4,reviewer3_performance_final_n1000_r04_seed45,45,,all,batch_anchor_persistence,False,1000
,reviewer3_performance_final,120.575083,120575083,{},2026-08-01T14:06:59.608561Z,4,reviewer3_performance_final_n1000_r04_seed45,45,,all,batch_anchor_total,False,1000
1,reviewer3_performance_final,8.429916,8429916,{},2026-08-01T14:06:59.619824Z,4,reviewer3_performance_final_n1000_r04_seed45,45,,all,batch_membership_load,False,1000
1,reviewer3_performance_final,11.939,11939000,{},2026-08-01T14:06:59.639012Z,4,reviewer3_performance_final_n1000_r04_seed45,45,,all,batch_merkle_recomputation,False,1000
1,reviewer3_performance_final,152.337,152337000,{},2026-08-01T14:06:59.792200Z,4,reviewer3_performance_final_n1000_r04_seed45,45,,all,batch_snapshot_audit,False,1000
1,reviewer3_performance_final,0.066333,66333,{},2026-08-01T14:06:59.793457Z,4,reviewer3_performance_final_n1000_r04_seed45,45,,all,batch_verification_persistence,False,1000
,reviewer3_performance_final,184.497833,184497833,{},2026-08-01T14:06:59.793464Z,4,reviewer3_performance_final_n1000_r04_seed45,45,,all,batch_verification_total,False,1000
,reviewer3_performance_final,2.755208,2755208,{},2026-08-01T14:07:01.505869Z,6,reviewer3_performance_final_n0100_r06_seed47,47,,all,batch_eligibility_query,False,100
,reviewer3_performance_final,0.000834,834,{},2026-08-01T14:07:01.505887Z,6,reviewer3_performance_final_n0100_r06_seed47,47,,all,batch_context_and_leaf_construction,False,100
,reviewer3_performance_final,1.421833,1421833,{},2026-08-01T14:07:01.507316Z,6,reviewer3_performance_final_n0100_r06_seed47,47,,all,batch_merkle_construction,False,100
,reviewer3_performance_final,14.5245,14524500,{},2026-08-01T14:07:01.523532Z,6,reviewer3_performance_final_n0100_r06_seed47,47,,all,batch_anchor_persistence,False,100
,reviewer3_performance_final,20.515583,20515583,{},2026-08-01T14:07:01.523553Z,6,reviewer3_performance_final_n0100_r06_seed47,47,,all,batch_anchor_total,False,100
1,reviewer3_performance_final,1.592208,1592208,{},2026-08-01T14:07:01.527001Z,6,reviewer3_performance_final_n0100_r06_seed47,47,,all,batch_membership_load,False,100
1,reviewer3_performance_final,1.299666,1299666,{},2026-08-01T14:07:01.529917Z,6,reviewer3_performance_final_n0100_r06_seed47,47,,all,batch_merkle_recomputation,False,100
1,reviewer3_performance_final,19.01075,19010750,{},2026-08-01T14:07:01.549015Z,6,reviewer3_performance_final_n0100_r06_seed47,47,,all,batch_snapshot_audit,False,100
1,reviewer3_performance_final,0.053416,53416,{},2026-08-01T14:07:01.549202Z,6,reviewer3_performance_final_n0100_r06_seed47,47,,all,batch_verification_persistence,False,100
,reviewer3_performance_final,25.572833,25572833,{},2026-08-01T14:07:01.549208Z,6,reviewer3_performance_final_n0100_r06_seed47,47,,all,batch_verification_total,False,100
,reviewer3_performance_final,3.008958,3008958,{},2026-08-01T14:07:05.210400Z,3,reviewer3_performance_final_n0500_r03_seed44,44,,all,batch_eligibility_query,False,500
,reviewer3_performance_final,0.001042,1042,{},2026-08-01T14:07:05.210419Z,3,reviewer3_performance_final_n0500_r03_seed44,44,,all,batch_context_and_leaf_construction,False,500
,reviewer3_performance_final,4.735,4735000,{},2026-08-01T14:07:05.215160Z,3,reviewer3_performance_final_n0500_r03_seed44,44,,all,batch_merkle_construction,False,500
,reviewer3_performance_final,48.74525,48745250,{},2026-08-01T14:07:05.265165Z,3,reviewer3_performance_final_n0500_r03_seed44,44,,all,batch_anchor_persistence,False,500
,reviewer3_performance_final,57.833083,57833083,{},2026-08-01T14:07:05.265187Z,3,reviewer3_performance_final_n0500_r03_seed44,44,,all,batch_anchor_total,False,500
1,reviewer3_performance_final,4.189458,4189458,{},2026-08-01T14:07:05.271286Z,3,reviewer3_performance_final_n0500_r03_seed44,44,,all,batch_membership_load,False,500
1,reviewer3_performance_final,5.799666,5799666,{},2026-08-01T14:07:05.281348Z,3,reviewer3_performance_final_n0500_r03_seed44,44,,all,batch_merkle_recomputation,False,500
1,reviewer3_performance_final,77.491084,77491084,{},2026-08-01T14:07:05.359263Z,3,reviewer3_performance_final_n0500_r03_seed44,44,,all,batch_snapshot_audit,False,500
1,reviewer3_performance_final,0.056875,56875,{},2026-08-01T14:07:05.359899Z,3,reviewer3_performance_final_n0500_r03_seed44,44,,all,batch_verification_persistence,False,500
,reviewer3_performance_final,94.49875,94498750,{},2026-08-01T14:07:05.359908Z,3,reviewer3_performance_final_n0500_r03_seed44,44,,all,batch_verification_total,False,500
,reviewer3_performance_final,2.0435,2043500,{},2026-08-01T14:07:05.970187Z,4,reviewer3_performance_final_n0010_r04_seed45,45,,all,batch_eligibility_query,False,10
,reviewer3_performance_final,0.000625,625,{},2026-08-01T14:07:05.970208Z,4,reviewer3_performance_final_n0010_r04_seed45,45,,all,batch_context_and_leaf_construction,False,10
,reviewer3_performance_final,0.27925,279250,{},2026-08-01T14:07:05.970494Z,4,reviewer3_performance_final_n0010_r04_seed45,45,,all,batch_merkle_construction,False,10
,reviewer3_performance_final,6.1685,6168500,{},2026-08-01T14:07:05.977586Z,4,reviewer3_performance_final_n0010_r04_seed45,45,,all,batch_anchor_persistence,False,10
,reviewer3_performance_final,9.500375,9500375,{},2026-08-01T14:07:05.977610Z,4,reviewer3_performance_final_n0010_r04_seed45,45,,all,batch_anchor_total,False,10
1,reviewer3_performance_final,0.863959,863959,{},2026-08-01T14:07:05.980466Z,4,reviewer3_performance_final_n0010_r04_seed45,45,,all,batch_membership_load,False,10
1,reviewer3_performance_final,0.285791,285791,{},2026-08-01T14:07:05.981483Z,4,reviewer3_performance_final_n0010_r04_seed45,45,,all,batch_merkle_recomputation,False,10
1,reviewer3_performance_final,3.34425,3344250,{},2026-08-01T14:07:05.984856Z,4,reviewer3_performance_final_n0010_r04_seed45,45,,all,batch_snapshot_audit,False,10
1,reviewer3_performance_final,0.047959,47959,{},2026-08-01T14:07:05.984936Z,4,reviewer3_performance_final_n0010_r04_seed45,45,,all,batch_verification_persistence,False,10
,reviewer3_performance_final,7.269583,7269583,{},2026-08-01T14:07:05.984942Z,4,reviewer3_performance_final_n0010_r04_seed45,45,,all,batch_verification_total,False,10
,reviewer3_performance_final,3.707833,3707833,{},2026-08-01T14:07:09.774579Z,4,reviewer3_performance_final_n0500_r04_seed45,45,,all,batch_eligibility_query,False,500
,reviewer3_performance_final,0.001084,1084,{},2026-08-01T14:07:09.774597Z,4,reviewer3_performance_final_n0500_r04_seed45,45,,all,batch_context_and_leaf_construction,False,500
