anchor_id,benchmark_id,duration_ms,duration_ns,metadata,observed_at_utc,repetition_index,run_id,seed,session_id,session_mode,stage,warmup,workload_size
1,reviewer3_performance_final,52.441875,52441875,{},2026-08-01T14:06:59.849492Z,4,reviewer3_performance_final_n1000_r04_seed45,45,,all,chain_publication_total,False,1000
1,reviewer3_performance_final,0.958334,958334,{},2026-08-01T14:06:59.850484Z,4,reviewer3_performance_final_n1000_r04_seed45,45,,all,chain_anchor_database_update,False,1000
1,reviewer3_performance_final,26.253625,26253625,{},2026-08-01T14:06:59.878891Z,4,reviewer3_performance_final_n1000_r04_seed45,45,,all,chain_read_verification,False,1000
1,reviewer3_performance_final,30.418792,30418792,{},2026-08-01T14:07:01.583267Z,6,reviewer3_performance_final_n0100_r06_seed47,47,,all,chain_send_command,False,100
1,reviewer3_performance_final,21.991542,21991542,{},2026-08-01T14:07:01.605365Z,6,reviewer3_performance_final_n0100_r06_seed47,47,,all,chain_receipt_query,False,100
1,reviewer3_performance_final,54.593625,54593625,{},2026-08-01T14:07:01.607403Z,6,reviewer3_performance_final_n0100_r06_seed47,47,,all,chain_publication_total,False,100
1,reviewer3_performance_final,1.418584,1418584,{},2026-08-01T14:07:01.608875Z,6,reviewer3_performance_final_n0100_r06_seed47,47,,all,chain_anchor_database_update,False,100
1,reviewer3_performance_final,26.543917,26543917,{},2026-08-01T14:07:01.638192Z,6,reviewer3_performance_final_n0100_r06_seed47,47,,all,chain_read_verification,False,100
1,reviewer3_performance_final,26.406791,26406791,{},2026-08-01T14:07:05.389326Z,3,reviewer3_performance_final_n0500_r03_seed44,44,,all,chain_send_command,False,500
1,reviewer3_performance_final,20.60425,20604250,{},2026-08-01T14:07:05.410031Z,3,reviewer3_performance_final_n0500_r03_seed44,44,,all,chain_receipt_query,False,500
1,reviewer3_performance_final,48.917292,48917292,{},2026-08-01T14:07:05.411819Z,3,reviewer3_performance_final_n0500_r03_seed44,44,,all,chain_publication_total,False,500
1,reviewer3_performance_final,1.209834,1209834,{},2026-08-01T14:07:05.413060Z,3,reviewer3_performance_final_n0500_r03_seed44,44,,all,chain_anchor_database_update,False,500
1,reviewer3_performance_final,25.602333,25602333,{},2026-08-01T14:07:05.440515Z,3,reviewer3_performance_final_n0500_r03_seed44,44,,all,chain_read_verification,False,500
1,reviewer3_performance_final,29.617917,29617917,{},2026-08-01T14:07:06.017383Z,4,reviewer3_performance_final_n0010_r04_seed45,45,,all,chain_send_command,False,10
1,reviewer3_performance_final,21.661583,21661583,{},2026-08-01T14:07:06.039200Z,4,reviewer3_performance_final_n0010_r04_seed45,45,,all,chain_receipt_query,False,10
1,reviewer3_performance_final,53.629709,53629709,{},2026-08-01T14:07:06.041382Z,4,reviewer3_performance_final_n0010_r04_seed45,45,,all,chain_publication_total,False,10
1,reviewer3_performance_final,1.368542,1368542,{},2026-08-01T14:07:06.042790Z,4,reviewer3_performance_final_n0010_r04_seed45,45,,all,chain_anchor_database_update,False,10
1,reviewer3_performance_final,26.016167,26016167,{},2026-08-01T14:07:06.071049Z,4,reviewer3_performance_final_n0010_r04_seed45,45,,all,chain_read_verification,False,10
1,reviewer3_performance_final,29.035125,29035125,{},2026-08-01T14:07:09.991857Z,4,reviewer3_performance_final_n0500_r04_seed45,45,,all,chain_send_command,False,500
1,reviewer3_performance_final,21.747875,21747875,{},2026-08-01T14:07:10.013714Z,4,reviewer3_performance_final_n0500_r04_seed45,45,,all,chain_receipt_query,False,500
1,reviewer3_performance_final,52.955875,52955875,{},2026-08-01T14:07:10.015740Z,4,reviewer3_performance_final_n0500_r04_seed45,45,,all,chain_publication_total,False,500
1,reviewer3_performance_final,1.371666,1371666,{},2026-08-01T14:07:10.017148Z,4,reviewer3_performance_final_n0500_r04_seed45,45,,all,chain_anchor_database_update,False,500
1,reviewer3_performance_final,25.422917,25422917,{},2026-08-01T14:07:10.044924Z,4,reviewer3_performance_final_n0500_r04_seed45,45,,all,chain_read_verification,False,500
1,reviewer3_performance_final,27.636334,27636334,{},2026-08-01T14:07:11.326242Z,7,reviewer3_performance_final_n0100_r07_seed48,48,,all,chain_send_command,False,100
1,reviewer3_performance_final,21.515208,21515208,{},2026-08-01T14:07:11.347889Z,7,reviewer3_performance_final_n0100_r07_seed48,48,,all,chain_receipt_query,False,100
1,reviewer3_performance_final,51.38325,51383250,{},2026-08-01T14:07:11.349919Z,7,reviewer3_performance_final_n0100_r07_seed48,48,,all,chain_publication_total,False,100
1,reviewer3_performance_final,1.299709,1299709,{},2026-08-01T14:07:11.351260Z,7,reviewer3_performance_final_n0100_r07_seed48,48,,all,chain_anchor_database_update,False,100
1,reviewer3_performance_final,26.507333,26507333,{},2026-08-01T14:07:11.380019Z,7,reviewer3_performance_final_n0100_r07_seed48,48,,all,chain_read_verification,False,100
1,reviewer3_performance_final,28.531167,28531167,{},2026-08-01T14:07:11.643981Z,9,reviewer3_performance_final_n0010_r09_seed50,50,,all,chain_send_command,False,10
1,reviewer3_performance_final,21.8975,21897500,{},2026-08-01T14:07:11.665971Z,9,reviewer3_performance_final_n0010_r09_seed50,50,,all,chain_receipt_query,False,10
1,reviewer3_performance_final,52.373959,52373959,{},2026-08-01T14:07:11.667807Z,9,reviewer3_performance_final_n0010_r09_seed50,50,,all,chain_publication_total,False,10
1,reviewer3_performance_final,1.354625,1354625,{},2026-08-01T14:07:11.669194Z,9,reviewer3_performance_final_n0010_r09_seed50,50,,all,chain_anchor_database_update,False,10
1,reviewer3_performance_final,27.009167,27009167,{},2026-08-01T14:07:11.698262Z,9,reviewer3_performance_final_n0010_r09_seed50,50,,all,chain_read_verification,False,10
1,reviewer3_performance_final,26.518208,26518208,{},2026-08-01T14:07:19.849912Z,5,reviewer3_performance_final_n1000_r05_seed46,46,,all,chain_send_command,False,1000
1,reviewer3_performance_final,21.192083,21192083,{},2026-08-01T14:07:19.871208Z,5,reviewer3_performance_final_n1000_r05_seed46,46,,all,chain_receipt_query,False,1000
1,reviewer3_performance_final,50.071875,50071875,{},2026-08-01T14:07:19.873445Z,5,reviewer3_performance_final_n1000_r05_seed46,46,,all,chain_publication_total,False,1000
1,reviewer3_performance_final,1.406917,1406917,{},2026-08-01T14:07:19.874891Z,5,reviewer3_performance_final_n1000_r05_seed46,46,,all,chain_anchor_database_update,False,1000
1,reviewer3_performance_final,26.699042,26699042,{},2026-08-01T14:07:19.903849Z,5,reviewer3_performance_final_n1000_r05_seed46,46,,all,chain_read_verification,False,1000
1,reviewer3_performance_final,29.099708,29099708,{},2026-08-01T14:07:21.304099Z,10,reviewer3_performance_final_n0050_r10_seed51,51,,all,chain_send_command,False,50
1,reviewer3_performance_final,21.085917,21085917,{},2026-08-01T14:07:21.325308Z,10,reviewer3_performance_final_n0050_r10_seed51,51,,all,chain_receipt_query,False,50
1,reviewer3_performance_final,52.707916,52707916,{},2026-08-01T14:07:21.327684Z,10,reviewer3_performance_final_n0050_r10_seed51,51,,all,chain_publication_total,False,50
1,reviewer3_performance_final,1.447583,1447583,{},2026-08-01T14:07:21.329171Z,10,reviewer3_performance_final_n0050_r10_seed51,51,,all,chain_anchor_database_update,False,50
1,reviewer3_performance_final,25.954292,25954292,{},2026-08-01T14:07:21.357733Z,10,reviewer3_performance_final_n0050_r10_seed51,51,,all,chain_read_verification,False,50
1,reviewer3_performance_final,30.489208,30489208,{},2026-08-01T14:07:21.870990Z,6,reviewer3_performance_final_n0050_r06_seed47,47,,all,chain_send_command,False,50
1,reviewer3_performance_final,22.76175,22761750,{},2026-08-01T14:07:21.893883Z,6,reviewer3_performance_final_n0050_r06_seed47,47,,all,chain_receipt_query,False,50
1,reviewer3_performance_final,55.473625,55473625,{},2026-08-01T14:07:21.895963Z,6,reviewer3_performance_final_n0050_r06_seed47,47,,all,chain_publication_total,False,50
