ci95_high,ci95_high_for_run_mean,ci95_low,ci95_low_for_run_mean,maximum,mean,median,minimum,n,n_observations,n_runs,p50,p95,p99,sample_sd,stage,workload_size
6.0308138405887135,6.0308138405887135,5.285210959411286,5.285210959411286,6.491833,5.6580124,5.649167,4.925375,10,10,10,5.649167,6.36611425,6.46668925,0.5211405164417324,batch_anchor_persistence,10
8.882883460338373,8.882883460338373,7.933266539661628,7.933266539661628,9.500375,8.408075,8.23825,7.562167,10,10,10,8.23825,9.4610189,9.49250378,0.6637365076725352,batch_anchor_total,10
0.0005189706227463061,0.0005189706227463061,0.0004144293772536939,0.0004144293772536939,0.000625,0.0004667,0.00045850000000000003,0.000375,10,10,10,0.00045850000000000003,0.0005876499999999999,0.00061753,7.306929739789635e-05,batch_context_and_leaf_construction,10
1.7006603216935767,1.7006603216935767,1.3729234783064235,1.3729234783064235,2.0435,1.5367919,1.480146,1.264125,10,10,10,1.480146,1.8836001499999995,2.01152003,0.2290722744392404,batch_eligibility_query,10
0.8705162382464904,0.8705162382464904,0.7193089617535096,0.7193089617535096,0.97075,0.7949126,0.7727085,0.648875,10,10,10,0.7727085,0.9426060999999999,0.96512122,0.10568660630289074,batch_membership_load,10
0.2536538712770019,0.2536538712770019,0.2177295287229981,0.2177295287229981,0.27925,0.2356917,0.2307295,0.199542,10,10,10,0.2307295,0.27139389999999997,0.27767878,0.025109385846066944,batch_merkle_construction,10
0.26141611793751707,0.26141611793751707,0.22690008206248294,0.22690008206248294,0.285791,0.24415810000000002,0.241,0.217166,10,10,10,0.241,0.2820227,0.28503734000000003,0.024125047281243255,batch_merkle_recomputation,10
3.733242833892521,3.733242833892521,3.150107166107479,3.150107166107479,4.147542,3.441675,3.3404375,2.879167,10,10,10,3.3404375,4.13306685,4.144646969999999,0.4075837563626238,batch_snapshot_audit,10
0.05026690289974531,0.05026690289974531,0.0444996971002547,0.0444996971002547,0.0525,0.0473833,0.047396,0.0385,10,10,10,0.047396,0.0520311,0.052406219999999996,0.004030999188235537,batch_verification_persistence,10
7.2034642279599215,7.2034642279599215,6.1646603720400766,6.1646603720400766,7.85575,6.684062299999999,6.5611665,5.555333,10,10,10,6.5611665,7.76845,7.83829,0.7260738814485677,batch_verification_total,10
2.5071986379234352,2.5071986379234352,1.064218162076565,1.064218162076565,4.543042,1.7857084,1.4128335,1.204667,10,10,10,1.4128335,3.5007294999999976,4.3345795,1.0085738794499444,chain_anchor_database_update,10
64.69207659169876,64.69207659169876,50.60091560830124,50.60091560830124,79.165792,57.6464961,53.440479499999995,51.918875,10,10,10,53.440479499999995,76.36647339999999,78.60592828,9.84904309993388,chain_publication_total,10
28.907484811435886,28.907484811435886,25.58719038856411,25.58719038856411,33.530375,27.247337599999998,26.4297085,25.780375,10,10,10,26.4297085,31.157581249999993,33.05581625,2.3207259440058934,chain_read_verification,10
30.41467129864419,30.41467129864419,19.945312101355807,19.945312101355807,41.306375,25.1799917,21.889771,21.484334,10,10,10,21.889771,39.1328372,40.87166744,7.317578025279283,chain_receipt_query,10
29.770655495964697,29.770655495964697,28.349027904035303,28.349027904035303,30.469709,29.0598417,29.1262705,27.831542,10,10,10,29.1262705,30.45519605,30.46680641,0.9936492416391265,chain_send_command,10
5.580049235362311,5.580049235362311,4.903517564637689,4.903517564637689,6.221584,5.2417834,5.1984165,4.383791,10,10,10,5.1984165,5.958239949999999,6.16891519,0.47286306581038867,count_reconciliation,10
76.01728947689502,76.01728947689502,68.24761092310497,68.24761092310497,78.25337400000001,72.1324502,73.5298965,61.425167,10,100,10,7.144083,9.36489405,10.35274759000002,5.430631233229967,database_persistence,10
25.206197464272666,25.206197464272666,21.24981053572733,21.24981053572733,30.048333,23.228004,22.8053545,20.801665999999997,10,20,10,12.100708,15.028133,16.144192999999998,2.7653239804136276,dataset_export,10
0.2268448529849187,0.2268448529849187,0.18516354701508136,0.18516354701508136,0.24687500000000004,0.20600420000000003,0.2043545,0.15783499999999998,10,100,10,0.0184165,0.03211635,0.03869774000000006,0.029133226101251936,meter_leaf_encoding,10
0.23093198068034695,0.23093198068034695,0.19844201931965302,0.19844201931965302,0.253249,0.214687,0.20972849999999998,0.180041,10,100,10,0.0209375,0.030432699999999997,0.03318633000000012,0.022708918742301323,meter_merkle_construction,10
0.24390581307719456,0.24390581307719456,0.2173701869228054,0.2173701869228054,0.267417,0.23063799999999998,0.22687449999999998,0.208041,10,100,10,0.0219795,0.0333104,0.03996425000000001,0.018547125108161044,meter_normalization,10
1.7827120827625373,1.7827120827625373,1.6608031172374629,1.6608031172374629,1.8751239999999998,1.7217576,1.7222709999999999,1.613001,10,100,10,0.170479,0.1997774,0.23072250000000005,0.08520849752121097,receipt_canonical_hashing,10
