batch_context_match,batch_count_match,batch_leaf_hashes_match,batch_ordering_match,batch_root_match,batch_tree_root_match,canonical_receipt_validation_passed,chain_block_number,chain_gas_used,chain_receipt_count_match,chain_root_match,chain_status,chain_transaction_fee_wei,chain_tx,count_reconciliation_ok,database_counts_after,database_counts_before,end_to_end_duration_ns,ended_at_utc,execution_index,failure,load_average,num_meter_values,process_id,receipt_pipeline_mean_ms,receipt_pipeline_total_ns,receipt_throughput_per_sec,repetition,run_id,seed,session_type_composition,started_at_utc,valid,warmup,workload_size
True,True,True,True,True,True,True,79,143377,True,True,1,4803846385,0x224bb35aa652f96da7cf0cd8677a073db13e4b78cb497a6cabe2eec03ccfb826,True,"{""batch_anchors"": 1, ""memberships"": 10, ""meter_values"": 105, ""receipts"": 10, ""sessions"": 10, ""verifications"": 1}","{""batch_anchors"": 0, ""memberships"": 0, ""meter_values"": 0, ""receipts"": 0, ""sessions"": 0, ""verifications"": 0}",258759959,2026-08-01T14:06:26.674577Z,1,,"[2.658203125, 2.96240234375, 3.13818359375]",105,6545,10.567246,105672460,94.63203563161112,1,reviewer3_performance_final_warmup_n0010_w01,42,"{""bidirectional"": 3, ""charge_only"": 4, ""discharge_only"": 3}",2026-08-01T14:06:26.413561Z,True,True,10
True,True,True,True,True,True,True,80,143377,True,True,1,4209261966,0xafbdb49f34412cbede871a1f45ce47197f24d8a22d414a60fdc9dcc5015a9915,True,"{""batch_anchors"": 1, ""memberships"": 50, ""meter_values"": 509, ""receipts"": 50, ""sessions"": 50, ""verifications"": 1}","{""batch_anchors"": 0, ""memberships"": 0, ""meter_values"": 0, ""receipts"": 0, ""sessions"": 0, ""verifications"": 0}",565953125,2026-08-01T14:06:27.274908Z,2,,"[2.658203125, 2.96240234375, 3.13818359375]",509,6545,7.89161746,394580873,126.7167352027223,1,reviewer3_performance_final_warmup_n0050_w01,42,"{""bidirectional"": 16, ""charge_only"": 17, ""discharge_only"": 17}",2026-08-01T14:06:26.705593Z,True,True,50
True,True,True,True,True,True,True,81,143377,True,True,1,3688229948,0x189bf4c1ed1b557ac7121b5db3b89ee0c155f006ff0d2c44ee9a63c13a439ae9,True,"{""batch_anchors"": 1, ""memberships"": 100, ""meter_values"": 1014, ""receipts"": 100, ""sessions"": 100, ""verifications"": 1}","{""batch_anchors"": 0, ""memberships"": 0, ""meter_values"": 0, ""receipts"": 0, ""sessions"": 0, ""verifications"": 0}",888569542,2026-08-01T14:06:28.201244Z,3,,"[2.658203125, 2.96240234375, 3.13818359375]",1014,6545,6.638824179999999,663882418,150.6290832362426,1,reviewer3_performance_final_warmup_n0100_w01,42,"{""bidirectional"": 33, ""charge_only"": 34, ""discharge_only"": 33}",2026-08-01T14:06:27.307344Z,True,True,100
True,True,True,True,True,True,True,82,143389,True,True,1,3231988060,0xc4b9929148e8d2db2517b4c449f5c60b288bbebfdc524bfcb46b2144d1ad48c4,True,"{""batch_anchors"": 1, ""memberships"": 500, ""meter_values"": 5136, ""receipts"": 500, ""sessions"": 500, ""verifications"": 1}","{""batch_anchors"": 0, ""memberships"": 0, ""meter_values"": 0, ""receipts"": 0, ""sessions"": 0, ""verifications"": 0}",4318206542,2026-08-01T14:06:32.572647Z,4,,"[2.60546875, 2.9462890625, 3.13134765625]",5136,6545,7.3788078200000005,3689403910,135.52324771076638,1,reviewer3_performance_final_warmup_n0500_w01,42,"{""bidirectional"": 166, ""charge_only"": 167, ""discharge_only"": 167}",2026-08-01T14:06:28.236520Z,True,True,500
True,True,True,True,True,True,True,83,143389,True,True,1,2831932750,0x6cd1af65f6926336b5b1eac847a27cc2c2b3e8db34805eb03329e495491394ac,True,"{""batch_anchors"": 1, ""memberships"": 1000, ""meter_values"": 10083, ""receipts"": 1000, ""sessions"": 1000, ""verifications"": 1}","{""batch_anchors"": 0, ""memberships"": 0, ""meter_values"": 0, ""receipts"": 0, ""sessions"": 0, ""verifications"": 0}",8824719666,2026-08-01T14:06:41.471010Z,5,,"[2.81298828125, 2.97998046875, 3.14111328125]",10083,6545,7.617028175,7617028175,131.2847973021972,1,reviewer3_performance_final_warmup_n1000_w01,42,"{""bidirectional"": 333, ""charge_only"": 334, ""discharge_only"": 333}",2026-08-01T14:06:32.609765Z,True,True,1000
