case,session_id,passed,details
proof,reviewer3_batch_merkle_validation_20260801_v3-0001,True,"{""generation_seconds"": 0.0011522090062499046, ""siblings"": 3, ""size_bytes"": 1260, ""verification_seconds"": 3.3542048186063766e-05}"
proof,reviewer3_batch_merkle_validation_20260801_v3-0003,True,"{""generation_seconds"": 0.0012014160165563226, ""siblings"": 3, ""size_bytes"": 1259, ""verification_seconds"": 3.220804501324892e-05}"
proof,reviewer3_batch_merkle_validation_20260801_v3-0004,True,"{""generation_seconds"": 0.0011654580011963844, ""siblings"": 3, ""size_bytes"": 1259, ""verification_seconds"": 2.9165996238589287e-05}"
proof,reviewer3_batch_merkle_validation_20260801_v3-0002,True,"{""generation_seconds"": 0.001939416048116982, ""siblings"": 3, ""size_bytes"": 1258, ""verification_seconds"": 3.0499999411404133e-05}"
proof,reviewer3_batch_merkle_validation_20260801_v3-0005,True,"{""generation_seconds"": 0.000980542041361332, ""siblings"": 3, ""size_bytes"": 1257, ""verification_seconds"": 2.9542017728090286e-05}"
modified_proof_rejected,reviewer3_batch_merkle_validation_20260801_v3-0001,True,{}
duplicate_receipt_hash_rejected,,True,{}
late_insertion_detected,reviewer3_batch_merkle_validation_20260801_v3-0006,True,"{""historical_root_unchanged"": true, ""snapshot_match"": false}"
1000_leaf_proof_sample,proof-size-0500,True,"{""commitment_build_seconds"": 0.009607041021808982, ""leaf_count"": 1000, ""proof_generation_seconds"": 6.049999501556158e-05, ""proof_sibling_count"": 10, ""proof_valid"": true, ""proof_verification_seconds"": 5.741603672504425e-05, ""serialized_proof_size_bytes"": 2064, ""tree_depth"": 10}"
